doc_id,answer_id,question_id,title,question_body,answer_body,tags,answer_score,accepted_answer,comment_count,question_view_count,answer_count,owner_user_id,author_reputation,creation_date,last_activity_date,source,url,aspect,combined_text,age_days,retrieval_score,rank,run
sample-a4,1004,502,How much emergency fund should I keep?,Community question about how much emergency fund should i keep?,"If your job is unstable or your expenses are irregular, choose the larger end of the emergency fund range.",emergency-fund saving budgeting,16,False,2,22000,5,204,2100,2023-08-09 00:00:00+00:00,2023-08-09 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/502#answer-1004,saving,"How much emergency fund should I keep? Community question about how much emergency fund should i keep? If your job is unstable or your expenses are irregular, choose the larger end of the emergency fund range. emergency-fund saving budgeting",1027,12.740983385551784,1,bm25
sample-a3,1003,502,How much emergency fund should I keep?,Community question about how much emergency fund should i keep?,A common rule is three to six months of essential expenses. Keep it liquid in a high-yield savings account rather than volatile investments.,emergency-fund saving budgeting,35,True,4,22000,5,203,9100,2025-02-12 00:00:00+00:00,2025-02-12 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/502#answer-1003,saving,How much emergency fund should I keep? Community question about how much emergency fund should i keep? A common rule is three to six months of essential expenses. Keep it liquid in a high-yield savings account rather than volatile investments. emergency-fund saving budgeting,474,12.001382978330263,2,bm25
sample-a2,1002,501,Should I pay off credit card debt before investing?,Community question about should i pay off credit card debt before investing?,"You can contribute enough to get an employer match, but beyond that prioritize the card balance and build a small emergency fund.",credit-card debt investing,23,False,5,18000,6,202,3400,2024-11-16 00:00:00+00:00,2024-11-16 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/501#answer-1002,debt,"Should I pay off credit card debt before investing? Community question about should i pay off credit card debt before investing? You can contribute enough to get an employer match, but beyond that prioritize the card balance and build a small emergency fund. credit-card debt investing",562,3.9259427299078866,3,bm25
sample-a16,1016,508,How can I improve my credit score?,Community question about how can i improve my credit score?,"Pay on time, keep utilization low, avoid unnecessary applications, and check reports for errors.",credit-score credit-card debt,40,True,5,25000,5,216,4100,2025-03-03 00:00:00+00:00,2025-03-03 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/508#answer-1016,credit,"How can I improve my credit score? Community question about how can i improve my credit score? Pay on time, keep utilization low, avoid unnecessary applications, and check reports for errors. credit-score credit-card debt",455,3.0448816551741755,4,bm25
sample-a7,1007,504,How are capital gains taxed?,Community question about how are capital gains taxed?,"Capital gains tax depends on holding period, income, jurisdiction and cost basis. Keep records and separate short-term from long-term gains.",tax capital-gains investing,31,True,7,26000,4,207,12500,2024-12-10 00:00:00+00:00,2024-12-10 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/504#answer-1007,tax,"How are capital gains taxed? Community question about how are capital gains taxed? Capital gains tax depends on holding period, income, jurisdiction and cost basis. Keep records and separate short-term from long-term gains. tax capital-gains investing",538,2.9255138141399106,5,bm25
sample-a17,1017,509,Should I keep cash or buy bonds for short-term savings?,Community question about should i keep cash or buy bonds for short-term savings?,"For short horizons, safety and liquidity matter more than yield. Treasury bills or high-yield savings can fit depending on access needs.",saving bonds treasury emergency-fund,24,True,4,17000,4,217,11500,2025-02-20 00:00:00+00:00,2025-02-20 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/509#answer-1017,saving,"Should I keep cash or buy bonds for short-term savings? Community question about should i keep cash or buy bonds for short-term savings? For short horizons, safety and liquidity matter more than yield. Treasury bills or high-yield savings can fit depending on access needs. saving bonds treasury emergency-fund",466,2.125819365441282,6,bm25
sample-a13,1013,507,Should I refinance my mortgage?,Community question about should i refinance my mortgage?,Refinance when the interest savings exceed closing costs and you expect to keep the loan long enough to break even.,mortgage refinance interest-rate,26,True,3,16000,3,213,4900,2024-10-02 00:00:00+00:00,2024-10-02 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/507#answer-1013,mortgage,Should I refinance my mortgage? Community question about should i refinance my mortgage? Refinance when the interest savings exceed closing costs and you expect to keep the loan long enough to break even. mortgage refinance interest-rate,607,1.8854236366746993,7,bm25
sample-a8,1008,504,How are capital gains taxed?,Community question about how are capital gains taxed?,"Losses may offset gains, but wash sale rules and local tax law can change the result. Consult a tax professional for large transactions.",tax capital-gains investing,19,False,3,26000,4,208,8400,2023-03-28 00:00:00+00:00,2023-03-28 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/504#answer-1008,tax,"How are capital gains taxed? Community question about how are capital gains taxed? Losses may offset gains, but wash sale rules and local tax law can change the result. Consult a tax professional for large transactions. tax capital-gains investing",1161,1.7849002551713247,8,bm25
sample-a10,1010,505,Should I invest in ETFs or individual stocks?,Community question about should i invest in etfs or individual stocks?,"Individual stocks can be appropriate if you understand concentration risk, portfolio sizing and tax implications.",etf stocks investing diversification,14,False,4,41000,7,210,17500,2024-01-05 00:00:00+00:00,2024-01-05 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/505#answer-1010,investing,"Should I invest in ETFs or individual stocks? Community question about should i invest in etfs or individual stocks? Individual stocks can be appropriate if you understand concentration risk, portfolio sizing and tax implications. etf stocks investing diversification",878,0.7351395803913372,9,bm25
sample-a9,1009,505,Should I invest in ETFs or individual stocks?,Community question about should i invest in etfs or individual stocks?,"For most investors, diversified low-cost ETFs reduce idiosyncratic risk and require less monitoring than individual stocks.",etf stocks investing diversification,38,True,9,41000,7,209,22000,2025-01-04 00:00:00+00:00,2025-01-04 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/505#answer-1009,investing,"Should I invest in ETFs or individual stocks? Community question about should i invest in etfs or individual stocks? For most investors, diversified low-cost ETFs reduce idiosyncratic risk and require less monitoring than individual stocks. etf stocks investing diversification",513,0.7289731322981671,10,bm25
