doc_id,answer_id,question_id,title,question_body,answer_body,tags,answer_score,accepted_answer,comment_count,question_view_count,answer_count,owner_user_id,question_owner_user_id,commenter_user_ids,author_reputation,creation_date,last_activity_date,source,url,aspect,combined_text,age_days,retrieval_score,rank,run,topical_score,community_score,engagement_score,credibility_score,author_influence_score,freshness_score,tag_match_score,sentiment_alignment_score,clarity_score,technical_score,risk_warning_score,final_score
sample-a1044,1044,521,Should I pay extra on my mortgage or invest?,Community question about should i pay extra on my mortgage or invest?,Paying down a low fixed-rate mortgage is a guaranteed but modest return; investing has higher expected but uncertain returns.,mortgage investing debt,45,True,8,14953,2,301,422,422 302,41000,2022-08-15 00:00:00+00:00,2022-08-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/521#answer-1044,mortgage,Should I pay extra on my mortgage or invest? Community question about should i pay extra on my mortgage or invest? Paying down a low fixed-rate mortgage is a guaranteed but modest return; investing has higher expected but uncertain returns. mortgage investing debt,1388,11.360232317237998,1,social_default,0.9429246308800301,0.8920166661075518,0.7087380034719909,1.0,1.0,0.1493638709736966,0.1,0.8,0.19669641504495938,0.25,0.25,0.8413371224520765
sample-a1043,1043,521,Should I pay extra on my mortgage or invest?,Community question about should i pay extra on my mortgage or invest?,Compare the mortgage rate with your expected after-tax return and your risk tolerance; there is no single right answer.,mortgage investing debt,38,False,0,14953,2,302,422,,38000,2024-01-15 00:00:00+00:00,2024-01-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/521#answer-1043,mortgage,Should I pay extra on my mortgage or invest? Community question about should i pay extra on my mortgage or invest? Compare the mortgage rate with your expected after-tax return and your risk tolerance; there is no single right answer. mortgage investing debt,870,12.047868880713732,2,social_default,1.0,0.3865478288149943,0.043110030969399665,0.9800976854573569,0.6073397326783032,0.3036799822780756,0.1,0.9,0.26502482349565515,0.25,0.5,0.7428088931302367
sample-a1013,1013,506,Should I refinance my mortgage?,Community question about should i refinance my mortgage?,Watch the term reset: lowering the rate but restarting 30 years can raise total interest paid.,mortgage refinance interest-rate,56,True,4,25690,2,301,407,407 303 302,41000,2025-06-15 00:00:00+00:00,2025-06-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/506#answer-1013,mortgage,Should I refinance my mortgage? Community question about should i refinance my mortgage? Watch the term reset: lowering the rate but restarting 30 years can raise total interest paid. mortgage refinance interest-rate,353,8.472050337569097,3,social_default,0.7031990820493725,0.9850382024784291,0.6126435966544644,1.0,1.0,0.616583425826371,0.1,0.5,0.5921918097809603,0.0,0.0,0.7370926764622528
sample-a1018,1018,509,Should I invest in ETFs or individual stocks?,Community question about should i invest in etfs or individual stocks?,"For most investors, diversified low-cost ETFs cut idiosyncratic risk and need less monitoring than single stocks.",etf stocks investing diversification,47,True,4,46608,3,301,410,410 302,41000,2023-07-15 00:00:00+00:00,2023-07-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/509#answer-1018,investing,"Should I invest in ETFs or individual stocks? Community question about should i invest in etfs or individual stocks? For most investors, diversified low-cost ETFs cut idiosyncratic risk and need less monitoring than single stocks. etf stocks investing diversification",1054,5.593259297150295,4,social_default,0.4642530021308584,0.9104811178407926,0.7900177536693355,1.0,1.0,0.23602073528515033,0.0,0.7,0.3368587521031371,0.75,0.25,0.6037959595475578
sample-a1009,1009,504,Where should I keep my emergency savings?,Community question about where should i keep my emergency savings?,"Split it: one month in checking for instant access, the rest in a high-yield account.",saving emergency-fund risk,52,True,7,24280,2,301,405,405 302,41000,2022-09-15 00:00:00+00:00,2022-09-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/504#answer-1009,saving,"Where should I keep my emergency savings? Community question about where should i keep my emergency savings? Split it: one month in checking for instant access, the rest in a high-yield account. saving emergency-fund risk",1357,4.559443838686422,5,social_default,0.37844401228379854,0.9534716198475409,0.7464766845578532,1.0,1.0,0.1558433240245538,0.0,0.9,0.7315784865748318,0.0,0.25,0.570288800195254
sample-a1020,1020,509,Should I invest in ETFs or individual stocks?,Community question about should i invest in etfs or individual stocks?,A core ETF portfolio plus a small satellite of stocks is a common compromise.,etf stocks investing diversification,38,False,9,46608,3,301,410,410 303,41000,2024-11-15 00:00:00+00:00,2024-11-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/509#answer-1020,investing,Should I invest in ETFs or individual stocks? Community question about should i invest in etfs or individual stocks? A core ETF portfolio plus a small satellite of stocks is a common compromise. etf stocks investing diversification,565,5.857942714956598,6,social_default,0.48622231640767705,0.3865478288149943,1.0,1.0,1.0,0.46117735003146915,0.0,0.8,0.8683167276206338,1.0,0.0,0.5702867217395113
sample-a1038,1038,518,Should I keep cash or buy bonds for short-term savings?,Community question about should i keep cash or buy bonds for short-term savings?,Match the bond maturity to when you need the money to avoid selling at a loss.,saving bonds treasury emergency-fund,39,True,8,48080,2,305,419,419 303 301,19000,2024-04-15 00:00:00+00:00,2024-04-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/518#answer-1038,saving,Should I keep cash or buy bonds for short-term savings? Community question about should i keep cash or buy bonds for short-term savings? Match the bond maturity to when you need the money to avoid selling at a loss. saving bonds treasury emergency-fund,779,5.803408253735899,7,social_default,0.4816958344413935,0.8313810688548094,0.8856412702688785,0.7985500853118828,0.38642381445167767,0.3439966748905724,0.0,0.5,0.8504763007353824,0.25,0.25,0.5435132506575995
sample-a1019,1019,509,Should I invest in ETFs or individual stocks?,Community question about should i invest in etfs or individual stocks?,"Individual stocks can fit if you understand concentration risk, position sizing and the tax consequences.",etf stocks investing diversification,38,False,5,46608,3,302,410,410 303,38000,2023-12-15 00:00:00+00:00,2023-12-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/509#answer-1019,investing,"Should I invest in ETFs or individual stocks? Community question about should i invest in etfs or individual stocks? Individual stocks can fit if you understand concentration risk, position sizing and the tax consequences. etf stocks investing diversification",901,6.563497732932613,8,social_default,0.5447849572333479,0.3865478288149943,0.8452503090685672,0.9800976854573569,0.6073397326783032,0.29105396701581177,0.0,0.5,0.43875492242046144,1.0,0.25,0.5376984876697475
sample-a1010,1010,505,Is it better to rent or buy a house?,Community question about is it better to rent or buy a house?,"Compare unrecoverable costs: rent vs mortgage interest, taxes, insurance, maintenance and transaction costs. Buying is not automatically better.",mortgage rent buy housing,55,True,0,40044,2,301,406,,41000,2025-10-15 00:00:00+00:00,2025-10-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/505#answer-1010,mortgage,"Is it better to rent or buy a house? Community question about is it better to rent or buy a house? Compare unrecoverable costs: rent vs mortgage interest, taxes, insurance, maintenance and transaction costs. Buying is not automatically better. mortgage rent buy housing",231,4.175932140270312,9,social_default,0.3466116855699814,0.9773592563339752,0.19231193773929434,1.0,1.0,0.7287399324998268,0.09090909090909091,0.5,0.0,0.0,0.0,0.5376573061065508
sample-a1025,1025,512,What should I do if I think an investment is a scam?,Community question about what should i do if i think an investment is a scam?,"Stop sending money, preserve all records, verify registration with the regulator, and report the suspected fraud.",scam fraud risk investing,43,True,1,39073,2,303,413,413,35000,2024-08-15 00:00:00+00:00,2024-08-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/512#answer-1025,risk,"What should I do if I think an investment is a scam? Community question about what should i do if i think an investment is a scam? Stop sending money, preserve all records, verify registration with the regulator, and report the suspected fraud. scam fraud risk investing",657,4.245989061980374,10,social_default,0.3524265663927807,0.8727313075427394,0.39857611577887336,0.9585578348810901,0.6058366294295915,0.4065696597405991,0.0,0.9,0.3368587521031371,0.25,0.75,0.5067319070366949
